sku,pagepath,dsc_image_url,product_name
FA203AA0SLQDGNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/48/043204/1.jpg,Mens Dress Shirts Long Sleeve Business Formal Shirt Red
FA203AA16XAO0NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/72/097344/1.jpg,Two In One-2 In 1- Long Sleeve Office Shirts White+Skye Blue
FA203AA1HYV7YNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/90/646414/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203MW1920MVNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/75/676855/1.jpg,Classic Patchwork Designer Longsleeve Shirt - Black
FA203AA0VX40PNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/53/612953/1.jpg,Unik Designers Stretchy Long Sleeve Shirts
FA203MW0STF0CNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/48/401724/1.jpg,Men's Long-sleeved Plaid Shirt-blue
AP776AA163LN9NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/70/711893/1.jpg,Spannel Collection LongSleeve Shirt - Blue Multi
FA203MW1BERODNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/79/631005/1.jpg,Simple Men's Shirt Long Sleeve
FA203AA0RP4WPNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/46/522393/1.jpg,African Style Vintage 3D Print Long Sleeve Ethnic Mens Wedding Party Shirts
FA203AA16XD2XNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/72/100473/1.jpg,Men's Gold Double Breasted Long Sleeve Shirt -Black
